a,b,ONBOUND,chi2
1.0068764806376422,-1.1834862458328574,True,2.033
1.0068764806376422,-0.8066343532552543,True,4.878
1.9786926373954692,-1.0124168999075018,True,6.068
1.0068764806376422,-0.8250547584381711,True,3.635
1.0068764806376422,-0.8250547584381711,True,3.898
1.608540278056761,-1.150287257035162,True,5.262
1.0068764806376422,-0.8066343532552543,True,5.060
1.0068764806376422,-1.1834862458328574,True,1.937
1.0068764806376422,-0.8066343532552543,True,3.481
1.0068764806376422,-1.150287257035162,True,2.134
1.0068764806376422,-0.825236702066892,True,2.376
1.0068764806376422,-0.8066343532552543,True,4.160
1.0068764806376422,-1.150287257035162,True,2.473
1.4917443224374145,-0.9972453999826607,False,1.353
1.4824508050194192,-0.994959813258095,False,1.188
1.4870814901744724,-0.9966067255218791,False,0.978
1.4991823250682814,-0.9972706144128262,False,0.923
1.1155472207420871,-1.1834862458328574,True,2.454
1.0068764806376422,-1.150287257035162,True,2.296
1.9786926373954692,-1.0131892118880108,True,7.838
1.0068764806376422,-0.8066343532552543,True,3.222
1.0068764806376422,-0.8250547584381711,True,4.342
1.0068764806376422,-0.8250547584381711,True,5.446
1.0068764806376422,-0.825236702066892,True,2.034
1.4821377578721624,-0.9946309634837898,False,1.288
1.0137098505765487,-0.8066343532552543,True,3.161
1.0068764806376422,-0.8066343532552543,True,4.233
1.481057027917942,-0.9964369194645843,False,1.442
1.0068764806376422,-0.8066343532552543,True,4.979
1.0137098505765487,-1.1834862458328574,True,2.084
1.0068764806376422,-0.8250547584381711,True,4.515
1.0068764806376422,-0.8066343532552543,True,3.275
1.0068764806376422,-0.8066343532552543,True,3.226
1.1155472207420871,-0.825236702066892,True,3.220
1.6189358830419405,-1.1834862458328574,True,6.261
1.0068764806376422,-1.1834862458328574,True,1.769
1.1155472207420871,-0.8876864016054992,True,5.471
1.9786926373954692,-1.0068657179022693,True,8.011
1.0068764806376422,-0.8066343532552543,True,4.213
1.4722645561235155,-0.9936065971369774,False,1.369
1.0068764806376422,-1.1834862458328574,True,1.261
1.4904886803875192,-0.998576253662779,False,1.269
1.4944157733811294,-0.9969328546067923,False,0.904
1.4854293462240435,-1.000469180924279,False,0.959
1.0137098505765487,-0.825236702066892,True,2.366
1.0137098505765487,-0.8066343532552543,True,2.990
1.1155472207420871,-0.9439743459211208,True,6.856
1.489978528124758,-0.9945617362029074,False,1.452
1.0068764806376422,-0.8189698159671831,True,3.407
1.0068764806376422,-0.8066343532552543,True,5.674
1.0068764806376422,-1.1834862458328574,True,2.432
1.0137098505765487,-0.8066343532552543,True,3.651
1.4702348374735965,-0.9904662969593783,False,1.402
1.0068764806376422,-0.825236702066892,True,2.323
1.4820893052466277,-0.9958241411126368,False,1.218
1.0137098505765487,-0.8404977480813052,True,1.655
1.49469884531053,-0.9998984634830475,False,0.930
1.4576595470449005,-0.9952262938068782,False,1.376
1.0068764806376422,-0.8066343532552543,True,2.448
1.4881843997881878,-0.9943440978619547,False,1.205
1.9786926373954692,-0.9961626961786064,True,4.361
1.4799416099366864,-0.9947293819250813,False,1.074
1.0137098505765487,-0.8066343532552543,True,2.998
1.0068764806376422,-0.8066343532552543,True,3.817
1.0068764806376422,-0.8066343532552543,True,2.799
1.1155472207420871,-0.9243855005552867,True,7.334
1.480704843873804,-0.9992052036156921,False,0.968
1.4886314009655137,-0.9932147085686277,False,1.587
1.0068764806376422,-1.1834862458328574,True,2.218
1.0068764806376422,-0.8066343532552543,True,4.537
1.0068764806376422,-0.8066343532552543,True,4.144
1.0068764806376422,-0.8066343532552543,True,4.200
1.4754042647810164,-0.991953592560849,False,1.260
1.0068764806376422,-0.8066343532552543,True,3.973
1.50014621437888,-0.9961376512225709,False,1.201
1.0068764806376422,-0.825236702066892,True,2.813
1.0068764806376422,-1.1731000551862578,True,2.065
1.487334816917883,-0.9982551273584882,False,1.116
1.0137098505765487,-1.1834862458328574,True,2.593
1.490721499397007,-0.995101045969708,False,1.097
1.0068764806376422,-1.1731000551862578,True,2.440
1.0068764806376422,-0.8066343532552543,True,4.277
1.0137098505765487,-0.8250547584381711,True,4.614
1.4851076440580258,-0.9988260003190599,False,1.240
1.0068764806376422,-0.8066343532552543,True,5.391
1.0068764806376422,-0.8066343532552543,True,3.439
1.4884540440098348,-0.9942356150447005,False,1.372
1.0137098505765487,-0.8066343532552543,True,3.694
1.0068764806376422,-0.8066343532552543,True,4.074
1.0068764806376422,-0.8066343532552543,True,3.369
1.0068764806376422,-0.8066343532552543,True,3.462
1.0068764806376422,-0.825236702066892,True,2.848
1.484836260427949,-0.9927857220149708,False,1.511
1.4953620417909408,-0.9991990647536473,False,1.165
1.0068764806376422,-1.1731000551862578,True,2.795
1.4699328541767,-0.9959218738002285,False,1.430
1.0068764806376422,-0.8066343532552543,True,3.072
1.0068764806376422,-0.8066343532552543,True,3.187
1.9748796244389726,-1.1834862458328574,True,1.039
1.4869287096123351,-0.996724216604371,False,1.165
