# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func1 //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func1
LegendOnly=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func1 //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func1
RatioPlot=1
RatioPlotReference=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func1
LineColor=red
LineStyle=solid
Path=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func1
Title=envelope_dn
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.500000e-02	1.911927e+01	0.000000e+00	0.000000e+00
7.500000e-02	1.500000e-01	2.324492e+00	0.000000e+00	0.000000e+00
1.500000e-01	2.250000e-01	1.682148e+00	0.000000e+00	0.000000e+00
2.250000e-01	3.000000e-01	2.071979e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.750000e-01	2.545727e+00	0.000000e+00	0.000000e+00
3.750000e-01	4.500000e-01	2.463336e+00	0.000000e+00	0.000000e+00
4.500000e-01	5.250000e-01	2.421377e+00	0.000000e+00	0.000000e+00
5.250000e-01	6.000000e-01	2.412223e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.750000e-01	2.616675e+00	0.000000e+00	0.000000e+00
6.750000e-01	7.500000e-01	2.882156e+00	0.000000e+00	0.000000e+00
7.500000e-01	8.250000e-01	3.397863e+00	0.000000e+00	0.000000e+00
8.250000e-01	9.000000e-01	4.557520e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.750000e-01	8.261216e+00	0.000000e+00	0.000000e+00
9.750000e-01	1.050000e+00	1.952131e+01	0.000000e+00	0.000000e+00
1.050000e+00	1.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.425000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func1
LineColor=blue
LineStyle=solid
Path=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func1
Title=envelope_up
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.500000e-02	1.264796e+02	0.000000e+00	0.000000e+00
7.500000e-02	1.500000e-01	1.097748e+01	0.000000e+00	0.000000e+00
1.500000e-01	2.250000e-01	8.323960e+00	0.000000e+00	0.000000e+00
2.250000e-01	3.000000e-01	6.871096e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.750000e-01	6.866513e+00	0.000000e+00	0.000000e+00
3.750000e-01	4.500000e-01	6.383351e+00	0.000000e+00	0.000000e+00
4.500000e-01	5.250000e-01	6.339245e+00	0.000000e+00	0.000000e+00
5.250000e-01	6.000000e-01	6.525693e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.750000e-01	6.990812e+00	0.000000e+00	0.000000e+00
6.750000e-01	7.500000e-01	7.864913e+00	0.000000e+00	0.000000e+00
7.500000e-01	8.250000e-01	9.210149e+00	0.000000e+00	0.000000e+00
8.250000e-01	9.000000e-01	1.225347e+01	0.000000e+00	0.000000e+00
9.000000e-01	9.750000e-01	2.213323e+01	0.000000e+00	0.000000e+00
9.750000e-01	1.050000e+00	5.197299e+01	0.000000e+00	0.000000e+00
1.050000e+00	1.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.425000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

